no	room	peo
1	102	4
2	103	4
3	104	4
4	105	3
5	106	4
6	107	3
7	108	3
8	109	4
9	201	3
10	202	4
11	203	3
12	204	3
13	205	3
14	206	4
15	207	4
16	208	3
17	209	4
18	210	4
19	211	4
20	212	4
21	213	3
22	214	4
23	215	3
24	216	4
25	301	4
26	302	4
27	303	3
28	304	4
29	305	3
30	306	4
31	307	4
32	308	3
33	309	3
34	310	3
35	311	4
36	312	3
37	313	4
38	314	3
39	315	3
40	316	4
41	317	4
42	401	4
43	402	4
44	403	4
45	404	3
46	405	4
47	406	3
48	407	3
49	408	3
50	409	4
51	410	3
52	411	3
53	412	3
54	413	3
55	414	3
56	415	3
